comparison,behav_var,image_var,rho,p
MWMdist_entorhinalR_caudomedial,swimdist_t6,pagerankcent_weight,-0.367004048582996,0.021549311172371
MWMdist_entorhinalR_dorsalintermediate,swimdist_t5,degree_bin,-0.316679331833927,0.0495070037349659
MWMdist_entorhinalR_dorsalintermediate,swimdist_t2,betweencent_weight,0.316801619433198,0.0494143224161656
MWMdist_entorhinalR_dorsalintermediate,swimdist_t5,eigenvectorcent_bin,-0.326315789473684,0.0426201750013605
MWMdist_entorhinalR_dorsalintermediate,swimdist_t5,pagerankcent_bin,-0.330364372469636,0.0399687943189877
MWMdist_entorhinalR_medial,swimdist_t6,strength_weight,-0.419028340080972,0.00792799957892467
MWMdist_entorhinalR_medial,swimdist_t6,clustercoeff_weight,-0.376518218623482,0.0181505483874035
MWMdist_entorhinalR_medial,swimdist_t6,localeff_weight,-0.351417004048583,0.0282573221899008
MWMdist_entorhinalR_medial,swimdist_t1,betweencent_bin,-0.467206477732794,0.00271179466706497
MWMdist_entorhinalR_medial,swimdist_t5,betweencent_weight,0.319028340080972,0.0477509656113425
MWMdist_entorhinalR_medial,swimdist_t6,eigenvectorcent_weight,-0.358502024291498,0.0250208847019252
MWMdist_entorhinalR_medial,swimdist_t6,pagerankcent_weight,-0.42753036437247,0.00663246532633003
MWMdist_entorhinalR_ventralintermediate,swimdist_t3,clustercoeff_weight,-0.319230769230769,0.0476020161868667
MWMdist_entorhinalR_ventralintermediate,swimdist_t3,localeff_weight,-0.353238866396761,0.0273937831402285
MWMdist_fimbriaR,swimdist_t6,pagerankcent_bin,0.329352226720648,0.0406187179340324
MWMdist_fornixL,swimdist_t1,strength_weight,-0.345546558704453,0.0311940940615665
MWMdist_fornixL,swimdist_t1,clustercoeff_weight,-0.468421052631579,0.00263409907044836
MWMdist_fornixL,swimdist_t1,localeff_weight,-0.4,0.0116343187301943
MWMdist_fornixL,swimdist_t3,localeff_weight,0.341497975708502,0.0333622239644826
MWMdist_fornixL,swimdist_t3,eigenvectorcent_weight,0.346558704453441,0.0306705693951968
MWMdist_fornixL,swimdist_t1,pagerankcent_weight,-0.318825910931174,0.0479002903305934
MWMdist_fornixR,swimdist_t6,clustercoeff_bin,-0.33582995951417,0.036603783446362
MWMdist_fornixR,swimdist_t1,clustercoeff_weight,-0.321862348178138,0.0456995291635495
